"","X","order","Col2","S_ID","sample.","site","month","day","microsite","rep","method","location","quantity","order.1","family","subfamily","Col16","genus","species","highest.rtu","Size..mm.","width","sex","Col23","uniID"
"1",631,210,NA,NA,NA,"Aven","July",24,"shrub",12,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"AvenJulyshrub12"
"2",632,1628,206,"Coal-J-O4-PT-7","Y - 2","Coal","July",19,"open",4,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"CoalJulyopen4"
"3",633,1485,NA,NA,NA,"Coal","Aug",11,"shrub",3,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"CoalAugshrub3"
"4",634,1567,NA,NA,NA,"Coal","Aug",11,"shrub",11,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"CoalAugshrub11"
"5",635,1727,NA,NA,NA,"Coal","July",19,"shrub",11,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"CoalJulyshrub11"
"6",636,2628,NA,NA,NA,"PaPl","Aug",15,"shrub",3,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"PaPlAugshrub3"
"7",637,2632,NA,"PaPl-A15-S3-PT-2",NA,"PaPl","Aug",15,"shrub",3,"PT","pinned",3,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"PaPlAugshrub3"
"8",638,3243,NA,NA,NA,"SiCr","Aug",15,"open",3,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Cyphomyrmex","wheeleri","Cyphomyrmexwheeleri",NA,NA,NA,NA,"SiCrAugopen3"
"9",714,113,NA,NA,NA,"Aven","Aug",11,"open",12,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"AvenAugopen12"
"10",715,133,NA,NA,NA,"Aven","July",24,"shrub",2,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"AvenJulyshrub2"
"11",716,136,51,NA,NA,"Aven","July",24,"shrub",3,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"AvenJulyshrub3"
"12",717,207,NA,NA,NA,"Aven","July",24,"shrub",11,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"AvenJulyshrub11"
"13",718,874,NA,NA,NA,"CaS","Sept",21,"open",11,"PT","ET",7,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSSeptopen11"
"14",719,886,NA,NA,NA,"CaS","Sept",21,"open",12,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSSeptopen12"
"15",720,651,NA,NA,NA,"CaS","July",13,"shrub",5,"PT","ET-15",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSJulyshrub5"
"16",721,881,NA,NA,NA,"CaS","Sept",21,"shrub",11,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSSeptshrub11"
"17",722,1221,NA,NA,NA,"CaSl","July",12,"shrub",6,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex ","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSlJulyshrub6"
"18",723,1253,NA,NA,NA,"CaSl","July",12,"shrub",7,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSlJulyshrub7"
"19",724,1324,NA,NA,NA,"CaSl","July",12,"shrub",10,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex ","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSlJulyshrub10"
"20",725,1342,NA,NA,NA,"CaSl","July",12,"shrub",11,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex ","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CaSlJulyshrub11"
"21",726,1746,NA,NA,NA,"Coal","Sept",9,"open",1,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptopen1"
