"","X","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes","uniID","abun","Species"
"1",340,"Aven","Aug","pitfall","open",1,"open1",NA,NA,NA,100,0,0,0,0,100,25,"grass",TRUE,"","AvenAugopen1",6,2
"2",349,"Aven","Aug","pitfall","open",10,"open10",NA,NA,NA,100,0,0,0,0,100,29,"grass",TRUE,"","AvenAugopen10",9,1
"3",350,"Aven","Aug","pitfall","open",11,"open11",NA,NA,NA,100,0,0,0,0,100,33,"grass",TRUE,"","AvenAugopen11",8,2
"4",351,"Aven","Aug","pitfall","open",12,"open12",NA,NA,NA,16,0,0,6,78,100,10,"herb",TRUE,"","AvenAugopen12",2,1
"5",341,"Aven","Aug","pitfall","open",2,"open2",NA,NA,NA,90,0,10,0,0,100,56,"grass",TRUE,"","AvenAugopen2",13,2
"6",342,"Aven","Aug","pitfall","open",3,"open3",NA,NA,NA,97,0,0,0,3,100,50,"grass",TRUE,"","AvenAugopen3",1,1
"7",343,"Aven","Aug","pitfall","open",4,"open4",NA,NA,NA,3,0,0,12,85,100,9,"grass",TRUE,"","AvenAugopen4",4,2
"8",344,"Aven","Aug","pitfall","open",5,"open5",NA,NA,NA,0,0,3,15,82,100,NA,NA,NA,"","AvenAugopen5",6,2
"9",345,"Aven","Aug","pitfall","open",6,"open6",NA,NA,NA,0,0,0,6,94,100,NA,NA,NA,"","AvenAugopen6",9,2
"10",346,"Aven","Aug","pitfall","open",7,"open7",NA,NA,NA,19,4,0,7,70,100,9,"herb",TRUE,"","AvenAugopen7",8,2
"11",347,"Aven","Aug","pitfall","open",8,"open8",NA,NA,NA,16,0,5,0,79,100,11,"herb",TRUE,"","AvenAugopen8",18,2
"12",348,"Aven","Aug","pitfall","open",9,"open9",NA,NA,NA,96,0,0,0,4,100,8,"herb",TRUE,"","AvenAugopen9",12,2
"13",328,"Aven","Aug","pitfall","shrub",1,"shrub1",305,190,150,100,0,0,0,0,100,49,"grass",TRUE,"","AvenAugshrub1",1,1
"14",337,"Aven","Aug","pitfall","shrub",10,"shrub10",300,230,165,95,0,5,0,0,100,33,"grass",TRUE,"","AvenAugshrub10",1,1
"16",329,"Aven","Aug","pitfall","shrub",2,"shrub2",130,115,120,100,0,0,0,0,100,32,"grass",TRUE,"","AvenAugshrub2",4,2
"17",330,"Aven","Aug","pitfall","shrub",3,"shrub3",215,170,105,100,0,0,0,0,100,33,"grass",TRUE,"","AvenAugshrub3",6,1
"18",331,"Aven","Aug","pitfall","shrub",4,"shrub4",140,120,110,20,0,20,2,58,100,29,"grass",TRUE,"","AvenAugshrub4",8,1
"19",332,"Aven","Aug","pitfall","shrub",5,"shrub5",360,235,160,38,0,4,0,58,100,36,"grass",TRUE,"","AvenAugshrub5",16,2
"20",333,"Aven","Aug","pitfall","shrub",6,"shrub6",290,210,95,89,0,4,3,4,100,24,"grass",TRUE,"","AvenAugshrub6",40,1
"21",334,"Aven","Aug","pitfall","shrub",7,"shrub7",200,160,145,100,0,0,0,0,100,27,"grass",TRUE,"","AvenAugshrub7",23,2
"22",335,"Aven","Aug","pitfall","shrub",8,"shrub8",385,220,145,80,0,20,0,0,100,28,"grass",TRUE,"","AvenAugshrub8",18,2
"23",336,"Aven","Aug","pitfall","shrub",9,"shrub9",370,285,160,100,0,0,0,0,100,42,"grass",TRUE,"","AvenAugshrub9",15,1
"25",138,"Aven","July","pitfall","open",10,"open10",NA,NA,NA,93,0,2,0,5,100,25,"grass",TRUE,"","AvenJulyopen10",21,1
"26",139,"Aven","July","pitfall","open",11,"open11",NA,NA,NA,3,0,0,1,96,100,10,"grass",TRUE,"","AvenJulyopen11",34,2
"27",130,"Aven","July","pitfall","open",2,"open2",NA,NA,NA,100,0,0,0,0,100,23,"grass",TRUE,"","AvenJulyopen2",39,1
"28",132,"Aven","July","pitfall","open",4,"open4",NA,NA,NA,2,0,2,0,96,100,5,"grass",TRUE,"","AvenJulyopen4",2,1
"29",133,"Aven","July","pitfall","open",5,"open5",NA,NA,NA,73,0,12,0,15,100,19,"grass",TRUE,"","AvenJulyopen5",2,1
"30",134,"Aven","July","pitfall","open",6,"open6",NA,NA,NA,2,0,0,0,98,100,6,"grass",TRUE,"","AvenJulyopen6",12,2
"31",135,"Aven","July","pitfall","open",7,"open7",NA,NA,NA,0,0,12,0,88,100,0,"grass",TRUE,"","AvenJulyopen7",1,1
"32",136,"Aven","July","pitfall","open",8,"open8",NA,NA,NA,0,0,1,1,98,100,0,"grass",TRUE,"","AvenJulyopen8",2,2
"33",137,"Aven","July","pitfall","open",9,"open9",NA,NA,NA,96,0,4,0,0,100,32,"grass",TRUE,"","AvenJulyopen9",5,1
"36",127,"Aven","July","pitfall","shrub",11,"shrub11",200,125,125,10,0,0,8,82,100,7,"grass",TRUE,"","AvenJulyshrub11",1,1
"37",128,"Aven","July","pitfall","shrub",12,"shrub12",70,55,90,95,0,0,0,5,100,21,"grass",TRUE,"","AvenJulyshrub12",41,2
"38",118,"Aven","July","pitfall","shrub",2,"shrub2",270,140,135,50,0,1,0,49,100,18,"grass",TRUE,"","AvenJulyshrub2",3,2
"39",119,"Aven","July","pitfall","shrub",3,"shrub3",120,65,110,99,0,1,0,0,100,36,"grass",TRUE,"","AvenJulyshrub3",2,1
"41",121,"Aven","July","pitfall","shrub",5,"shrub5",130,65,115,98,0,0,0,2,100,18,"grass",TRUE,"","AvenJulyshrub5",4,1
"42",122,"Aven","July","pitfall","shrub",6,"shrub6",160,150,85,100,0,0,0,0,100,38,"grass",TRUE,"","AvenJulyshrub6",15,1
"43",123,"Aven","July","pitfall","shrub",7,"shrub7",255,240,110,3,0,4,0,93,100,10,"grass",TRUE,"small amount of broken glass","AvenJulyshrub7",16,1
"44",124,"Aven","July","pitfall","shrub",8,"shrub8",165,150,140,3,0,2,1,94,100,5,"grass",TRUE,"","AvenJulyshrub8",7,2
"45",125,"Aven","July","pitfall","shrub",9,"shrub9",125,105,125,96,0,3,0,1,100,37,"grass",TRUE,"","AvenJulyshrub9",4,2
"47",555,"Aven","Sept","pitfall","open",10,"open10",NA,NA,NA,5,0,0,5,90,100,5,"grass",TRUE,"","AvenSeptopen10",2,1
"48",556,"Aven","Sept","pitfall","open",11,"open11",NA,NA,NA,100,0,0,0,0,100,35,"grass",TRUE,"","AvenSeptopen11",1,1
"49",557,"Aven","Sept","pitfall","open",12,"open12",NA,NA,NA,95,0,0,0,5,100,21,"grass",TRUE,"","AvenSeptopen12",27,2
"50",547,"Aven","Sept","pitfall","open",2,"open2",NA,NA,NA,90,0,0,0,10,100,27,"grass",TRUE,"","AvenSeptopen2",11,1
"53",550,"Aven","Sept","pitfall","open",5,"open5",NA,NA,NA,90,0,0,0,10,100,10,"grass",TRUE,"","AvenSeptopen5",33,1
"54",551,"Aven","Sept","pitfall","open",6,"open6",NA,NA,NA,5,0,0,0,95,100,10,"grass",TRUE,"","AvenSeptopen6",1,1
"57",554,"Aven","Sept","pitfall","open",9,"open9",NA,NA,NA,95,0,0,0,5,100,25,"grass",TRUE,"","AvenSeptopen9",1,1
"58",534,"Aven","Sept","pitfall","shrub",1,"shrub1",260,185,125,15,0,0,0,85,100,18,"grass",TRUE,"","AvenSeptshrub1",2,1
"59",543,"Aven","Sept","pitfall","shrub",10,"shrub10",225,135,125,100,0,0,0,0,100,50,"grass",TRUE,"","AvenSeptshrub10",1,1
"60",544,"Aven","Sept","pitfall","shrub",11,"shrub11",260,180,135,100,0,0,0,0,100,33,"grass",TRUE,"","AvenSeptshrub11",4,1
"61",545,"Aven","Sept","pitfall","shrub",12,"shrub12",210,140,110,99,0,1,0,0,100,25,"grass",TRUE,"","AvenSeptshrub12",5,1
"63",536,"Aven","Sept","pitfall","shrub",3,"shrub3",285,230,195,80,0,0,0,20,100,27,"grass",TRUE,"","AvenSeptshrub3",2,1
"65",538,"Aven","Sept","pitfall","shrub",5,"shrub5",230,225,160,95,0,0,0,5,100,10,"grass",TRUE,"","AvenSeptshrub5",2,1
