"","X","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes","uniID","abun","H","Simpson","Species","Even"
"AvenAugopen1","AvenAugopen1","Aven","Aug","pitfall","open",1,"open1",NA,NA,NA,100,0,0,0,0,100,25,"grass",TRUE,"","AvenAugopen1",6,0.636514168294813,0.444444444444444,2,0.918295834054489
"AvenAugopen10","AvenAugopen10","Aven","Aug","pitfall","open",10,"open10",NA,NA,NA,100,0,0,0,0,100,29,"grass",TRUE,"","AvenAugopen10",9,0,0,1,NA
"AvenAugopen11","AvenAugopen11","Aven","Aug","pitfall","open",11,"open11",NA,NA,NA,100,0,0,0,0,100,33,"grass",TRUE,"","AvenAugopen11",8,0.562335144618808,0.375,2,0.811278124459133
"AvenAugopen12","AvenAugopen12","Aven","Aug","pitfall","open",12,"open12",NA,NA,NA,16,0,0,6,78,100,10,"herb",TRUE,"","AvenAugopen12",2,0,0,1,NA
"AvenAugopen2","AvenAugopen2","Aven","Aug","pitfall","open",2,"open2",NA,NA,NA,90,0,10,0,0,100,56,"grass",TRUE,"","AvenAugopen2",13,0.690185676018804,0.497041420118343,2,0.995727452084926
"AvenAugopen3","AvenAugopen3","Aven","Aug","pitfall","open",3,"open3",NA,NA,NA,97,0,0,0,3,100,50,"grass",TRUE,"","AvenAugopen3",1,0,0,1,NA
"AvenAugopen4","AvenAugopen4","Aven","Aug","pitfall","open",4,"open4",NA,NA,NA,3,0,0,12,85,100,9,"grass",TRUE,"","AvenAugopen4",4,0.562335144618808,0.375,2,0.811278124459133
"AvenAugopen5","AvenAugopen5","Aven","Aug","pitfall","open",5,"open5",NA,NA,NA,0,0,3,15,82,100,NA,NA,NA,"","AvenAugopen5",6,0.450561208866305,0.277777777777778,2,0.650022421648354
"AvenAugopen6","AvenAugopen6","Aven","Aug","pitfall","open",6,"open6",NA,NA,NA,0,0,0,6,94,100,NA,NA,NA,"","AvenAugopen6",9,0.529706199057654,0.345679012345679,2,0.76420450650862
"AvenAugopen7","AvenAugopen7","Aven","Aug","pitfall","open",7,"open7",NA,NA,NA,19,4,0,7,70,100,9,"herb",TRUE,"","AvenAugopen7",8,0.661563238157982,0.46875,2,0.954434002924965
"AvenAugopen8","AvenAugopen8","Aven","Aug","pitfall","open",8,"open8",NA,NA,NA,16,0,5,0,79,100,11,"herb",TRUE,"","AvenAugopen8",18,0.214559155176405,0.104938271604938,2,0.309543429150325
"AvenAugopen9","AvenAugopen9","Aven","Aug","pitfall","open",9,"open9",NA,NA,NA,96,0,0,0,4,100,8,"herb",TRUE,"","AvenAugopen9",12,0.562335144618808,0.375,2,0.811278124459133
"AvenAugshrub1","AvenAugshrub1","Aven","Aug","pitfall","shrub",1,"shrub1",305,190,150,100,0,0,0,0,100,49,"grass",TRUE,"","AvenAugshrub1",1,0,0,1,NA
"AvenAugshrub10","AvenAugshrub10","Aven","Aug","pitfall","shrub",10,"shrub10",300,230,165,95,0,5,0,0,100,33,"grass",TRUE,"","AvenAugshrub10",1,0,0,1,NA
