"","Cyphomyrmexwheeleri","Dorymyrmexbicolor","Dorymyrmexinsanus","Foreliuspruinosis","Messorandrei","Messorpergandei","Myrmecocystus","Pheidolehyatti","Pogonomyrmexcalifornicus","Solenopsisaurea","Solenopsismolesta","Solenopsisxyloni","Temnothoraxandrei","uniID"
"1",0,0,0,2,0,0,0,0,0,0,0,4,0,"AvenAugopen1"
"2",0,0,0,0,0,0,0,0,0,0,0,9,0,"AvenAugopen10"
"3",0,0,0,2,0,0,0,0,0,0,0,6,0,"AvenAugopen11"
"4",0,2,0,0,0,0,0,0,0,0,0,0,0,"AvenAugopen12"
"5",0,0,0,6,0,0,0,0,0,0,0,7,0,"AvenAugopen2"
"6",0,0,0,0,0,0,0,0,0,0,0,1,0,"AvenAugopen3"
"7",0,0,0,3,0,0,0,0,0,0,0,1,0,"AvenAugopen4"
"8",0,0,0,5,0,0,0,0,0,0,0,1,0,"AvenAugopen5"
"9",0,0,0,7,0,0,0,0,0,0,0,2,0,"AvenAugopen6"
"10",0,0,0,3,0,0,0,0,0,0,0,5,0,"AvenAugopen7"
"11",0,0,0,1,0,0,0,0,0,0,0,17,0,"AvenAugopen8"
"12",0,0,0,3,0,0,0,0,0,0,0,9,0,"AvenAugopen9"
"13",0,0,0,0,0,0,0,0,0,0,0,1,0,"AvenAugshrub1"
"14",0,0,0,0,0,0,0,0,0,0,0,1,0,"AvenAugshrub10"
"15",0,0,0,1,0,0,0,0,0,0,0,3,0,"AvenAugshrub2"
"16",0,0,0,0,0,0,0,0,0,0,0,6,0,"AvenAugshrub3"
"17",0,0,0,8,0,0,0,0,0,0,0,0,0,"AvenAugshrub4"
"18",0,0,0,5,0,0,0,0,0,0,0,11,0,"AvenAugshrub5"
"19",0,0,0,0,0,0,0,0,0,0,0,40,0,"AvenAugshrub6"
"20",0,0,0,4,0,0,0,0,0,0,0,19,0,"AvenAugshrub7"
"21",0,0,0,2,0,0,0,0,0,0,0,16,0,"AvenAugshrub8"
"22",0,0,0,0,0,0,0,0,0,0,0,15,0,"AvenAugshrub9"
"23",0,0,0,0,0,0,0,0,0,0,0,21,0,"AvenJulyopen10"
"24",0,0,0,0,0,3,0,0,0,0,0,31,0,"AvenJulyopen11"
"25",0,0,0,0,0,0,0,0,0,0,0,39,0,"AvenJulyopen2"
"26",0,0,0,0,0,0,0,2,0,0,0,0,0,"AvenJulyopen4"
"27",0,0,0,0,0,0,0,2,0,0,0,0,0,"AvenJulyopen5"
"28",0,0,0,0,0,0,0,8,0,0,0,4,0,"AvenJulyopen6"
"29",0,0,0,0,0,0,0,1,0,0,0,0,0,"AvenJulyopen7"
"30",0,0,0,0,0,0,0,1,0,0,0,1,0,"AvenJulyopen8"
"31",0,0,0,0,0,0,0,5,0,0,0,0,0,"AvenJulyopen9"
"32",0,1,0,0,0,0,0,0,0,0,0,0,0,"AvenJulyshrub11"
"33",1,0,0,0,0,0,0,0,0,0,0,40,0,"AvenJulyshrub12"
"34",0,2,0,0,0,0,0,1,0,0,0,0,0,"AvenJulyshrub2"
"35",0,2,0,0,0,0,0,0,0,0,0,0,0,"AvenJulyshrub3"
"36",0,0,0,0,0,0,0,4,0,0,0,0,0,"AvenJulyshrub5"
"37",0,0,0,0,0,0,0,15,0,0,0,0,0,"AvenJulyshrub6"
"38",0,0,0,0,0,0,0,16,0,0,0,0,0,"AvenJulyshrub7"
"39",0,0,0,0,0,0,0,6,0,0,0,1,0,"AvenJulyshrub8"
"40",0,0,0,0,0,0,0,3,0,0,0,1,0,"AvenJulyshrub9"
"41",0,0,0,2,0,0,0,0,0,0,0,0,0,"AvenSeptopen10"
"42",0,0,0,0,0,0,0,0,0,0,0,1,0,"AvenSeptopen11"
"43",0,0,0,14,0,0,0,0,0,0,0,13,0,"AvenSeptopen12"
"44",0,0,0,0,0,0,0,0,0,0,0,11,0,"AvenSeptopen2"
"45",0,0,0,0,0,0,0,0,0,0,0,33,0,"AvenSeptopen5"
"46",0,0,0,0,0,0,0,0,0,0,0,1,0,"AvenSeptopen6"
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,"AvenSeptopen9"
"48",0,0,0,0,0,0,0,0,0,0,0,2,0,"AvenSeptshrub1"
"49",0,0,0,0,0,0,0,0,0,0,0,1,0,"AvenSeptshrub10"
"50",0,0,0,0,0,0,0,0,0,0,0,4,0,"AvenSeptshrub11"
"51",0,0,0,0,0,0,0,0,0,0,0,5,0,"AvenSeptshrub12"
"52",0,0,0,0,0,0,0,0,0,0,0,2,0,"AvenSeptshrub3"
"53",0,0,0,0,0,0,0,0,0,0,0,2,0,"AvenSeptshrub5"
"54",0,0,3,2,0,0,1,13,0,0,0,145,0,"CaSAugopen1"
"55",0,0,0,0,0,0,0,0,0,0,0,6,0,"CaSAugopen10"
"56",0,0,1,2,0,0,2,22,0,0,0,14,0,"CaSAugopen11"
"57",0,0,0,1,0,0,0,0,0,0,0,115,0,"CaSAugopen12"
"58",0,0,0,3,0,0,0,1,0,0,0,12,0,"CaSAugopen2"
"59",0,0,0,1,0,0,0,0,0,0,0,2,0,"CaSAugopen3"
"60",0,0,0,0,0,0,0,0,0,0,0,29,0,"CaSAugopen4"
"61",0,0,0,0,0,1,5,17,0,0,0,4,0,"CaSAugopen5"
"62",0,0,2,1,0,0,2,46,0,0,0,4,0,"CaSAugopen6"
"63",0,0,0,1,0,0,0,23,0,0,0,19,0,"CaSAugopen7"
"64",0,0,2,0,0,0,0,22,0,0,0,30,0,"CaSAugopen8"
"65",0,0,2,0,0,0,1,6,0,0,0,11,0,"CaSAugopen9"
"66",0,0,0,0,0,0,0,37,0,0,0,96,0,"CaSAugshrub1"
"67",0,0,0,0,0,0,0,4,0,0,0,36,0,"CaSAugshrub10"
"68",0,0,0,0,0,0,0,74,0,0,0,204,0,"CaSAugshrub11"
"69",0,0,0,0,0,0,0,6,0,0,0,13,0,"CaSAugshrub12"
"70",0,0,0,3,0,0,0,0,0,0,0,76,0,"CaSAugshrub2"
"71",0,0,0,2,0,0,0,1,0,0,0,81,0,"CaSAugshrub3"
"72",0,0,0,1,0,0,1,15,0,0,0,18,0,"CaSAugshrub4"
"73",0,0,0,0,0,0,1,33,0,0,0,136,0,"CaSAugshrub5"
"74",0,0,0,0,0,0,2,26,0,0,0,93,0,"CaSAugshrub6"
"75",0,0,0,1,0,0,0,16,0,0,0,369,0,"CaSAugshrub7"
"76",0,0,0,0,0,0,0,20,0,0,0,66,0,"CaSAugshrub8"
"77",0,0,0,0,0,0,0,8,0,0,0,19,0,"CaSAugshrub9"
"78",0,0,1,0,0,0,0,0,0,0,0,0,0,"CaSJulyopen1"
"79",0,0,0,1,0,0,11,0,0,0,0,0,0,"CaSJulyopen10"
"80",0,0,0,1,0,0,2,0,0,0,0,7,0,"CaSJulyopen11"
"81",0,0,0,0,0,0,4,4,0,0,0,7,0,"CaSJulyopen2"
"82",0,0,4,0,1,0,3,0,0,0,0,3,0,"CaSJulyopen3"
"83",0,0,3,0,0,0,3,0,0,0,0,45,0,"CaSJulyopen4"
"84",0,0,0,0,35,0,2,0,0,0,0,6,0,"CaSJulyopen5"
"85",0,0,0,0,0,0,0,3,0,0,0,0,0,"CaSJulyopen7"
