Code,sites,Anochetus_graeffei,Brachyponera_obscurans,Camponotus_nicobarensis,Camponotus_parius,Camponotus_variegatus,Camponotus_vitiosus,Cardiocondyla_obscurior,Cardiocondyla_sp.1 smalldark,Cardiocondyla_sp.2 big,Carebara_sp.1,Crematogaster_ferrarii,Dolichoderus_sibiricus,Euponera_sharpi,Monomorium_chinense,Monomorium_floricola,Monomorium_psw-cn01,Nylanderia_cf_taylori,Paratrechina_longicornis,Pheidole_fervens,Pheidole_nodus.tumida,Pheidole_parva,Polyrhachis_dives,Solenopsis_invicta,Solenopsis_jacoti,Strumigenys_emmae,Syllophopsis_sp.1,Tapinoma_melanocephalum,Tetramorium_bicarinatum,Tetramorium_lanuginosum,treatment
LMC02b,LMC,0,33.3,0,0,0,0,0,0,0,16.7,0,0,0,50,0,0,66.7,83.3,0,0,33.3,0,0,0,50,16.7,33.3,0,83.3,intact
LMC02c,LMC,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,33.3,83.3,0,0,50,0,0,0,16.7,33.3,66.7,16.7,100,intact
LMC02d,LMC,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,16.7,0,0,83.3,0,0,83.3,0,0,0,0,0,33.3,0,100,intact
LMC02e,LMC,16.7,0,16.7,0,0,0,0,0,0,50,16.7,16.7,0,0,0,16.7,16.7,100,0,0,83.3,0,0,0,0,0,66.7,0,100,intact
LMC03a,LMC,0,0,0,0,33.3,16.7,0,0,0,0,0,16.7,0,33.3,0,0,0,100,0,0,83.3,0,0,16.7,0,0,33.3,0,100,intact
LMC03b,LMC,16.7,66.7,16.7,0,0,0,16.7,0,0,0,0,0,0,100,0,0,16.7,100,66.7,0,0,0,0,0,0,0,83.3,33.3,100,intact
LMC04a,LMC,0,0,0,0,16.7,16.7,50,0,0,0,0,0,0,50,33.3,0,0,100,16.7,0,66.7,0,0,0,0,0,0,50,100,intact
LMC04b,LMC,0,50,0,0,16.7,0,0,0,0,16.7,0,0,0,16.7,0,83.3,83.3,100,0,33.3,0,0,0,0,0,0,0,16.7,100,intact
LMC05a,LMC,0,50,0,0,33.3,0,33.3,0,0,0,16.7,0,0,83.3,0,0,83.3,100,33.3,0,33.3,0,0,0,0,0,100,83.3,100,intact
LMC05b,LMC,33.3,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,66.7,16.7,66.7,16.7,0,83.3,0,0,0,0,0,16.7,16.7,100,intact
LMC05c,LMC,0,16.7,33.3,0,0,0,0,0,0,0,0,0,16.7,33.3,0,0,100,0,33.3,66.7,100,33.3,0,16.7,0,0,16.7,0,100,intact
LMC07a,LMC,16.7,16.7,0,0,66.7,0,0,0,0,0,0,0,0,66.7,0,0,0,83.3,83.3,0,0,0,0,0,0,0,83.3,0,100,intact
LMC08a,LMC,0,33.3,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,16.7,0,0,16.7,0,0,0,0,16.7,0,100,intact
LMC08b,LMC,0,33.3,0,0,0,33.3,0,0,0,0,0,0,0,83.3,33.3,0,83.3,0,66.7,0,50,16.7,0,16.7,0,0,16.7,83.3,100,intact
LMC08c,LMC,33.3,66.7,0,0,0,0,0,0,0,0,0,0,0,100,33.3,0,66.7,16.7,50,0,83.3,0,0,16.7,0,0,50,0,100,intact
LMC09a,LMC,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,83.3,0,0,100,0,0,0,0,0,100,0,66.7,intact
LMC09b,LMC,83.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,83.3,100,0,0,100,0,0,0,0,0,0,16.7,83.3,intact
LMC09c,LMC,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,83.3,100,0,0,50,0,0,0,0,0,0,33.3,66.7,intact
LMC11a,LMC,16.7,0,0,0,16.7,0,0,0,0,0,0,0,0,0,16.7,0,66.7,100,0,0,100,0,0,0,0,0,33.3,16.7,100,intact
LMC11b,LMC,16.7,0,16.7,0,0,0,16.7,0,0,0,0,0,0,50,50,0,50,33.3,0,0,100,0,0,0,0,0,33.3,16.7,100,intact
MP01a,MP,0,33.3,0,0,0,0,0,0,33.3,0,0,0,0,66.7,0,0,16.7,0,0,0,33.3,16.7,0,0,16.7,0,0,0,100,intact
MP01b,MP,0,66.7,16.7,16.7,0,0,0,0,0,16.7,0,0,0,100,0,33.3,33.3,0,0,0,50,33.3,0,0,0,0,16.7,0,83.3,intact
MP01c,MP,16.7,16.7,33.3,16.7,16.7,16.7,0,16.7,0,0,0,0,16.7,83.3,0,0,33.3,33.3,0,0,66.7,0,0,0,0,0,0,0,100,intact
MP01d,MP,0,50,0,0,0,16.7,0,0,0,0,0,0,0,83.3,0,16.7,50,66.7,0,0,33.3,0,0,0,0,0,33.3,33.3,100,intact
MP01e,MP,0,0,0,33.3,0,0,0,0,0,0,0,0,16.7,100,0,33.3,33.3,83.3,0,0,33.3,0,0,0,16.7,0,0,16.7,100,intact
MP02a,MP,0,16.7,16.7,0,0,0,0,0,0,0,0,0,16.7,33.3,0,33.3,16.7,66.7,0,0,33.3,16.7,0,0,16.7,0,16.7,0,100,intact
MP02b,MP,0,0,16.7,16.7,0,0,0,0,0,0,0,0,0,33.3,0,0,16.7,83.3,0,0,0,0,0,0,0,0,0,0,100,intact
MP02c,MP,0,0,0,20,0,0,0,0,0,0,0,0,0,60,20,0,0,40,0,0,0,0,0,40,0,0,0,0,100,intact
MP02d,MP,0,0,33.3,0,0,16.7,16.7,0,0,50,0,0,0,50,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,66.7,intact
MP03a,MP,0,0,0,33.3,0,0,0,0,0,0,0,0,0,66.7,0,0,16.7,0,0,0,0,100,0,0,0,0,66.7,16.7,33.3,intact
MP03b,MP,0,0,0,0,16.7,0,0,0,0,50,16.7,0,16.7,50,0,33.3,0,0,0,0,16.7,83.3,0,0,0,0,16.7,0,100,intact
MP03c,MP,0,16.7,0,0,0,0,0,0,0,33.3,0,16.7,16.7,66.7,0,0,0,50,0,0,0,16.7,0,16.7,0,0,33.3,0,33.3,intact
MP03d,MP,0,0,0,0,0,0,0,0,0,0,0,16.7,16.7,33.3,0,0,0,50,0,0,33.3,83.3,0,0,0,0,16.7,0,83.3,intact
MP03e,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0,0,0,33.3,0,0,0,66.7,0,16.7,0,0,0,0,83.3,intact
MP03f,MP,0,50,33.3,0,0,0,0,0,0,0,0,0,16.7,50,0,0,16.7,16.7,0,0,0,0,0,0,0,0,0,0,50,intact
MP04b,MP,0,0,0,0,0,0,0,16.7,16.7,0,0,0,0,33.3,0,0,33.3,0,16.7,0,50,0,0,16.7,0,0,16.7,16.7,66.7,intact
MP04d,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,100,0,0,0,0,0,0,0,0,16.7,0,intact
LMC11c,LMC,0,0,0,0,0,0,100,0,0,0,0,0,0,16.7,0,66.7,100,66.7,0,0,50,0,170,0,0,0,50,0,0,invaded
LMC11d,LMC,0,0,0,0,16.7,0,66.7,33.3,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,376,0,0,50,0,0,0,invaded
LMC11e,LMC,0,0,0,0,0,0,83.3,66.7,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,378,0,0,33.3,0,0,0,invaded
LMC14a,LMC,0,0,16.7,0,50,0,50,66.7,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,491,0,0,16.7,0,0,0,invaded
LMC14b,LMC,0,16.7,33.3,0,16.7,16.7,100,0,0,0,16.7,0,0,83.3,0,0,83.3,0,0,0,0,0,264,0,0,0,0,16.7,0,invaded
LMC14c,LMC,0,16.7,16.7,0,83.3,0,33.3,0,0,0,16.7,0,0,83.3,16.7,0,66.7,66.7,0,0,0,0,201,0,0,0,50,16.7,33.3,invaded
LMC14d,LMC,0,0,66.7,0,33.3,0,50,0,0,33.3,0,16.7,16.7,100,50,0,100,0,0,16.7,16.7,0,148,16.7,0,0,16.7,0,33.3,invaded
LMC14e,LMC,0,0,33.3,0,66.7,0,100,83.3,0,16.7,0,0,16.7,0,0,0,100,16.7,0,16.7,0,0,65,0,0,16.7,50,0,0,invaded
LMC14f,LMC,0,0,0,0,50,0,33.3,0,0,0,16.7,0,0,0,50,0,100,0,0,0,0,0,132,0,0,0,0,0,0,invaded
LMC14g,LMC,0,16.7,0,0,33.3,0,66.7,0,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,319,0,0,0,16.7,0,0,invaded
LMC14h,LMC,0,0,0,0,66.7,0,16.7,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,314,0,0,0,16.7,0,0,invaded
LMC14i,LMC,0,0,0,0,16.7,0,33.3,0,0,0,16.7,0,0,0,16.7,0,83.3,16.7,0,0,0,16.7,170,0,0,0,33.3,0,0,invaded
