Category,ID,Latitude,Longitude,Date,PST,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_ESIavg,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_PET
Aug,Aven,36.088,-120.19,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0349657,229.0876465
Aug,CaS,35.12,-119.628,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0305168,489.7828064
Aug,CaSl,35.089,-119.576,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0382221,486.6731567
Aug,Coal,36.212,-120.304,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0163741,237.8932343
Aug,Lok,35.354,-119.584,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0634075,496.8977051
Aug,Mov,36.562,-120.545,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0332941,387.6029358
Aug,PaPl,36.696,-120.795,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0086431,429.84552
Aug,SemiT,35.658,-119.612,2020-08-04 20:29:50 UTC,12:29 PM,11799,1,601,TRUE,0.0649974,508.9139709
Aug,SiCr,36.586,-120.686,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0126109,414.3578491
Sept,Aven,36.0878,-120.1912,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.1318175,124.4826736
Sept,CaS,35.116,-119.624,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0563653,121.5098343
Sept,CaSl,35.065,-119.539,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0555608,124.8439407
Sept,Coal,36.213,-120.303,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0716119,130.3840027
Sept,Lok,35.355,-119.588,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.0927102,223.5653534
Sept,Mov,36.561,-120.548,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.1085923,130.2332306
Sept,PaPl,36.7,-120.801,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0332567,142.2382812
Sept,SemiT,35.658,-119.61,2020-09-25 00:15:30 UTC,,12592,1,601,TRUE,0.1197156,246.280899
Sept,SiCr,36.586,-120.688,2020-09-21 01:48:18 UTC,,12531,3,601,TRUE,0.0534626,138.7354279
July,Aven,36.094,-120.197,2020-07-24 01:12:11 UTC,5:00 PM,11616,1,601,TRUE,0.047975,260.5924683
July,CaS,35.119955,-119.628287,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.0404213,127.8205185
July,CaSl,35.09,-119.574,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.0488795,126.042717
July,Coal,36.213,-120.305,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.0509855,148.3834839
July,Lok,35.354,-119.584,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.1156047,118.379097
July,Mov,36.563,-120.547,2020-07-31 22:03:18 UTC,2:00 PM,11738,1,601,TRUE,0.0196192,516.9086914
July,PaPl,36.698,-120.799,2020-07-27 23:37:15 UTC,,11677,1,601,TRUE,0.0048158,459.4377441
July,SemiT,35.658,-119.612,2020-07-20 02:47:02 UTC,6:00 PM,11555,1,601,TRUE,0.1129378,129.7462311
July,SiCr,36.586,-120.687,2020-07-20 02:47:02 UTC,,11555,1,601,TRUE,0.050306,150.5427704
