"","Site","month","Method","Microsite","Rep","field.micro","shrub.x","shrub.y","shrub.z","dry.veg.percent","green.veg.percent","woody.debris.percent","rocks.percent","bare.ground.percent","sum_percent","veg..height","dominant.type","dried.","notes"
"1","CaS","July","pitfall","shrub",1,"",350,325,126,91,0,3,1,5,100,26,"Grass",TRUE,"3 or 4 stems for one big bush"
"2","CaS","July","pitfall","shrub",2,"",610,500,160,96,0,3,1,0,100,24,"Grass",TRUE,""
"3","CaS","July","pitfall","shrub",3,"",325,255,155,99,0,0,1,0,100,33,"Grass",TRUE,""
"4","CaS","July","pitfall","shrub",4,"",285,250,120,83,0,6,1,10,100,31,"Grass",TRUE,""
"5","CaS","July","pitfall","shrub",5,"",290,230,170,96,0,1,1,2,100,29,"Grass",TRUE,""
"6","CaS","July","pitfall","shrub",6,"",295,275,150,91,0,0,1,8,100,33,"Grass",TRUE,""
"7","CaS","July","pitfall","shrub",7,"",365,360,170,74,0,10,1,15,100,25,"Grass",TRUE,""
"8","CaS","July","pitfall","shrub",8,"",390,365,185,90,0,1,1,8,100,28,"Grass",TRUE,""
"9","CaS","July","pitfall","shrub",9,"",320,315,160,94,0,0,1,5,100,29,"Grass",TRUE,""
"10","CaS","July","pitfall","shrub",10,"",470,430,165,88,0,10,1,1,100,8,"Grass",TRUE,"Grasshoppers mating (?) in bush"
"11","CaS","July","pitfall","shrub",11,"",250,210,100,60,2,3,2,33,100,22,"Grass",TRUE,""
"12","CaS","July","pitfall","shrub",12,"",315,315,140,90,1,0,2,7,100,37,"Grass",TRUE,""
"13","CaS","July","pitfall","open",1,"",NA,NA,NA,77,0,0,3,20,100,12,"grass",TRUE,""
"14","CaS","July","pitfall","open",2,"",NA,NA,NA,2,7,1,4,86,100,35,"herb",TRUE,""
"15","CaS","July","pitfall","open",3,"",NA,NA,NA,1,2,0,4,93,100,2,"herb",TRUE,""
"16","CaS","July","pitfall","open",4,"",NA,NA,NA,2,2,1,1,94,100,7,"herb",TRUE,""
"17","CaS","July","pitfall","open",5,"",NA,NA,NA,1,2,0,2,95,100,13,"grass",TRUE,""
"18","CaS","July","pitfall","open",6,"",NA,NA,NA,50,0,0,1,49,100,19,"grass",TRUE,""
"19","CaS","July","pitfall","open",7,"",NA,NA,NA,70,0,0,0,30,100,8,"grass",TRUE,""
"20","CaS","July","pitfall","open",8,"",NA,NA,NA,10,0,1,5,84,100,14,"grass",TRUE,""
"21","CaS","July","pitfall","open",9,"",NA,NA,NA,3,0,0,2,95,100,1,"grass",TRUE,""
"22","CaS","July","pitfall","open",10,"",NA,NA,NA,0,0,1,2,97,100,0,"grass",TRUE,""
"23","CaS","July","pitfall","open",11,"",NA,NA,NA,1,0,2,1,96,100,5,"grass",TRUE,""
"24","CaS","July","pitfall","open",12,"",NA,NA,NA,3,0,0,2,95,100,3,"grass",TRUE,""
"25","CaSl","July","pitfall","open",1,"shrub1",NA,NA,NA,30,0,0,1,69,100,9,"grass",TRUE,""
"26","CaSl","July","pitfall","open",2,"shrub2",NA,NA,NA,10,0,0,0,90,100,7,"grass",TRUE,""
"27","CaSl","July","pitfall","open",3,"shrub3",NA,NA,NA,10,0,0,1,89,100,7,"grass",TRUE,""
