"","Cardiocondyla","Cyphomyrmex","Dorymyrmex","Forelius","Messor","Myrmecocystus","Pheidole","Pogonomyrmex","Solenopsis"
"1",0,0,0,2,0,0,0,0,4
"2",0,0,0,0,0,0,0,0,9
"3",0,0,0,2,0,0,0,0,6
"4",0,0,2,0,0,0,0,0,0
"5",0,0,0,6,0,0,0,0,7
"6",0,0,0,0,0,0,0,0,1
"7",0,0,0,3,0,0,0,0,1
"8",0,0,0,5,0,0,0,0,1
"9",0,0,0,7,0,0,0,0,2
"10",0,0,0,3,0,0,0,0,5
"11",0,0,0,1,0,0,0,0,17
"12",0,0,0,3,0,0,0,0,9
"13",0,0,0,0,0,0,0,0,1
"14",0,0,0,0,0,0,0,0,1
"15",0,0,0,0,0,0,0,0,3
"16",0,0,0,0,0,0,0,0,6
"17",0,0,0,0,0,0,0,0,11
"18",0,0,0,0,0,0,0,0,40
"19",0,0,0,4,0,0,0,0,19
"20",0,0,0,2,0,0,0,0,16
"21",0,0,0,0,0,0,0,0,15
"22",0,0,0,0,0,0,0,0,21
"23",0,0,0,0,3,0,0,0,31
"24",0,0,0,0,0,0,0,0,39
"25",0,0,0,0,0,0,2,0,0
"26",0,0,0,0,0,0,2,0,0
"27",0,0,0,0,0,0,8,0,4
"28",0,0,0,0,0,0,1,0,0
"29",0,0,0,0,0,0,1,0,1
"30",0,0,0,0,0,0,5,0,0
"31",0,0,1,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,40
"33",0,0,2,0,0,0,1,0,0
"34",0,0,2,0,0,0,0,0,0
"35",0,0,0,0,0,0,4,0,0
"36",0,0,0,0,0,0,15,0,0
"37",0,0,0,0,0,0,16,0,0
"38",0,0,0,0,0,0,6,0,1
"39",0,0,0,0,0,0,3,0,0
"40",0,0,3,2,0,1,13,0,145
"41",0,0,1,2,0,2,22,0,14
"42",0,0,0,1,0,0,0,0,115
"43",0,0,0,0,0,0,1,0,12
"44",0,0,0,1,0,0,0,0,2
"45",0,0,0,0,0,0,0,0,29
"46",0,0,5,0,1,0,17,0,4
"47",0,0,0,1,0,0,23,0,19
"48",0,0,2,0,0,0,22,0,30
"49",0,0,2,0,0,1,6,0,11
"50",0,0,0,0,0,0,37,0,96
"51",0,0,0,0,0,0,4,0,36
"52",0,0,0,0,0,0,74,0,204
"53",0,0,0,0,0,0,6,0,13
"54",0,0,0,3,0,0,0,0,76
"55",0,0,0,2,0,0,1,0,81
"56",0,0,0,1,0,1,15,0,18
"57",0,0,0,0,0,1,33,0,136
"58",0,0,2,0,0,0,26,0,93
"59",0,0,0,0,0,0,16,0,369
"60",0,0,0,0,0,0,20,0,66
"61",0,0,0,0,0,0,8,0,19
"62",0,0,1,0,0,0,0,0,0
"63",0,0,0,1,0,11,0,0,0
"64",0,0,0,1,0,2,0,0,7
"65",0,0,0,0,0,4,4,0,7
"66",0,0,4,0,1,3,0,0,3
"67",0,0,3,0,0,3,0,0,45
"68",0,0,0,0,35,2,0,0,6
"69",0,0,0,0,0,1,0,0,15
"70",0,0,0,0,0,0,3,0,0
"71",0,0,0,3,0,2,0,0,10
"72",0,0,0,1,0,1,0,0,1
"73",0,0,0,1,0,0,37,0,17
