"","gabi_acc_number","accession_number","citation","genus_name_pub","species_name_pub","valid_species_name","type_of_data","dubious","note_dubious","locality","country","adm1","adm2","dec_lat","dec_long","bentity2_name","insert_date","update_date"
"1","GABI_01122735","iDigBio-0012227","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","5 mi S of Ozona Houston","USA","Texas","Crockett","31.32079","-95.43823","Texas","2015/04/03 10:44:09.714898+09","2019/06/30 09:45:05.602033+09"
"2","GABI_01124490","iDigBio-0015539","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","3 miles NW of Valentine","USA","Texas","Jeff Davis","30.94464","-103.27972","Texas","2015/04/03 10:44:11.064563+09","2019/06/30 09:45:05.602033+09"
"3","GABI_01125307","iDigBio-0017472","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","11km W Winters","USA","California","Yolo","38.50899","-122.09641","California","2015/04/03 10:44:11.719348+09","2019/06/30 09:45:05.602033+09"
"4","GABI_01127439","iDigBio-0021486","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","9 miles SE of Fort Davis Leakey","USA","Texas","Jeff Davis","30.94464","-103.27972","Texas","2015/04/03 10:44:13.441866+09","2019/06/30 09:45:05.602033+09"
"5","GABI_01127575","iDigBio-0021664","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Cameron, Little Colorado River wash","USA","Arizona","Coconino","35.86666667","-111.4057222","Arizona","2015/04/03 10:44:13.552151+09","2019/06/30 09:45:05.602033+09"
"6","GABI_01128319","iDigBio-0023321","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","22 miles E of Presidio","USA","Texas","Presidio","29.55853","-104.3708","Texas","2015/04/03 10:44:14.188775+09","2019/06/30 09:45:05.602033+09"
"7","GABI_01129163","iDigBio-0024662","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","20km WSW Patterson","USA","California","Stanislaus","37.42291","-121.3455","California","2015/04/03 10:44:14.871218+09","2019/06/30 09:45:05.602033+09"
"8","GABI_01131645","iDigBio-0029517","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","25.5 miles NW of Miami","USA","Texas","Roberts","36.00023","-100.9259","Texas","2015/04/03 10:44:16.87414+09","2019/06/30 09:45:05.602033+09"
"9","GABI_01135257","iDigBio-0037081","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Great Falls, along little Colorado River, rt 70","USA","Arizona","Coconino","35.42946306","-111.1965594","Arizona","2015/04/03 10:44:19.788981+09","2019/06/30 09:45:05.602033+09"
"10","GABI_01135624","iDigBio-0037566","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Big Bend National Park 1.5 miles N of Sotiz","USA","Texas","Brewster","29.82158","-103.27148","Texas","2015/04/03 10:44:20.074182+09","2019/06/30 09:45:05.602033+09"
"11","GABI_01135706","iDigBio-0037678","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","8.2 mi NE of Paducah Goliad","USA","Texas","Cottle","34.36611","-100.18982","Texas","2015/04/03 10:44:20.14076+09","2019/06/30 09:45:05.602033+09"
"12","GABI_01140000","iDigBio-0046572","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Jct. FR 2738 and Hwy. 6, 2 miles NE of Alvarado","USA","Texas","Johnson","32.3614","-97.33887","Texas","2015/04/03 10:44:23.994701+09","2019/06/30 09:45:05.602033+09"
"13","GABI_01141811","iDigBio-0050006","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","13 miles W of Big Lake","USA","Texas","Reagan","31.55045","-96.58081","Texas","2015/04/03 10:44:25.695803+09","2019/06/30 09:45:05.602033+09"
"14","GABI_01143048","iDigBio-0052582","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","34 miles N of Miami","USA","Texas","Roberts","35.12103","-101.32622","Texas","2015/04/03 10:44:26.703134+09","2019/06/30 09:45:05.602033+09"
"15","GABI_01144556","iDigBio-0055296","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","SB, 8km North,1150m","USA","California","Santa Barbara Co.","34.5","-119.71667","California","2015/04/03 10:44:28.036752+09","2019/06/30 09:45:05.602033+09"
"16","GABI_01149145","iDigBio-0064118","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","14.7 miles SE of Perryton","USA","Texas","Ochiltree","36.21769","-100.7666","Texas","2015/04/03 10:44:32.131428+09","2019/06/30 09:45:05.602033+09"
"17","GABI_01151152","iDigBio-0068444","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","25.5 miles NW of Miami","USA","Texas","Roberts","36.00023","-100.9259","Texas","2015/04/03 10:44:33.722215+09","2019/06/30 09:45:05.602033+09"
"18","GABI_01151527","iDigBio-0068945","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Colorado River, confluence with Little Colorado River","USA","Arizona","Coconino","36.192825","-111.7977639","Arizona","2015/04/03 10:44:34.10912+09","2019/06/30 09:45:05.602033+09"
"19","GABI_01154106","iDigBio-0074363","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","4km E San Marcos Pass","USA","California","Santa Barbara Co.","34.51667","-119.78333","California","2015/04/03 10:44:36.370441+09","2019/06/30 09:45:05.602033+09"
"20","GABI_01154345","iDigBio-0074742","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","29.5 miles SE of San Angelo","USA","Texas","Tom Green","30.9305","-99.8877","Texas","2015/04/03 10:44:36.555597+09","2019/06/30 09:45:05.602033+09"
"21","GABI_01156134","iDigBio-0078169","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Spence Res., 13 miles NW of Robert Lee Odessa","USA","Texas","Coke","31.52236","-100.34363","Texas","2015/04/03 10:44:38.355679+09","2019/06/30 09:45:05.602033+09"
"22","GABI_01157655","iDigBio-0081307","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","7 km E of Casa Grande","USA","Arizona","Pinal County","32.87941","-111.682979","Arizona","2015/04/03 10:44:39.426217+09","2019/06/30 09:45:05.602033+09"
"23","GABI_01158775","iDigBio-0083792","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","16km NNE Lucerne Valley, T6N R1E s32","USA","California","San Bernardino Co.","34.5676","-116.8993","California","2015/04/03 10:44:40.309053+09","2019/06/30 09:45:05.602033+09"
