Photo,Label,,Measure,Trait,
Aven 1.1,1,2.141,0.5,Scale bar,
Aven 1.1,2,-43.808,1.032,Femur,Pheidole hyatti
Aven 1.1,3,-5.741,0.887,Scape,Pheidole hyatti
Aven 1.1,4,-5.741,0.887,Scape,Pheidole hyatti
Aven 1.1,5,29.876,0.422,Mandible length,Pheidole hyatti
Aven 1.1,6,85.691,0.684,Head length,Pheidole hyatti
Aven 1.1,7,79.743,0.166,Eye length,Pheidole hyatti
Aven 1.1,8,-7.326,0.11,Eye width,Pheidole hyatti
Aven 1.1,9,-5.911,0.574,Head width,Pheidole hyatti
Aven 1.1,10,32.876,0.912,Webers,Pheidole hyatti
Aven 1.2.tif,1,-85.301,1.034,Femur,Pheidole hyatti
Aven 1.2.tif,2,-15.282,0.893,Scape,Pheidole hyatti
Aven 1.2.tif,3,27.618,0.401,Mandible length,Pheidole hyatti
Aven 1.2.tif,4,-27.801,0.732,Head length,Pheidole hyatti
Aven 1.2.tif,5,-22.087,0.175,Eye length,Pheidole hyatti
Aven 1.2.tif,6,65.659,0.108,Eye width,Pheidole hyatti
Aven 1.2.tif,7,66.626,0.605,Head width,Pheidole hyatti
Aven 1.2.tif,8,-50.268,0.943,Webers,Pheidole hyatti
Aven 1.3.jpg,1,-43.502,1.002,Femur,Pheidole hyatti
Aven 1.3.jpg,2,-61.739,0.909,Scape,Pheidole hyatti
Aven 1.3.jpg,3,149.265,0.399,Mandible length,Pheidole hyatti
Aven 1.3.jpg,4,89.605,0.671,Head length,Pheidole hyatti
Aven 1.3.jpg,5,86.73,0.162,Eye length,Pheidole hyatti
Aven 1.3.jpg,6,0,0.097,Eye width,Pheidole hyatti
Aven 1.3.jpg,7,0.462,0.574,Head width,Pheidole hyatti
Aven 1.3.jpg,8,-101.65,0.917,Webers,Pheidole hyatti
Aven 1.4.jpg,1,8.881,1.049,Femur,Pheidole hyatti
Aven 1.4.jpg,2,31.917,0.954,Scape,Pheidole hyatti
Aven 1.4.jpg,3,-37.131,0.406,Mandible length,Pheidole hyatti
Aven 1.4.jpg,4,15.635,0.704,Head length,Pheidole hyatti
Aven 1.4.jpg,5,14.036,0.181,Eye length,Pheidole hyatti
Aven 1.4.jpg,6,-70.253,0.096,Eye width,Pheidole hyatti
Aven 1.4.jpg,7,-73.722,0.603,Head width,Pheidole hyatti
Aven 1.4.jpg,8,175.964,0.953,Webers,Pheidole hyatti
Aven 1.5.jpg,1,52.097,0.821,Femur,Pheidole hyatti
Aven 1.5.jpg,2,-177.33,0.894,Scape,Pheidole hyatti
Aven 1.5.jpg,3,139.054,0.417,Mandible length,Pheidole hyatti
Aven 1.5.jpg,5,-172.038,0.668,Head length,Pheidole hyatti
Aven 1.5.jpg,6,-169.287,0.174,Eye length,Pheidole hyatti
Aven 1.5.jpg,7,96.789,0.098,Eye width,Pheidole hyatti
Aven 1.5.jpg,8,97.323,0.581,Head width,Pheidole hyatti
Aven 1.5.jpg,9,-117.023,0.907,Webers,Pheidole hyatti
Aven 1.6.jpg,1,-50.73,0.933,Femur,Pheidole hyatti
Aven 1.6.jpg,2,148.027,0.84,Scape,Pheidole hyatti
Aven 1.6.jpg,3,-128.073,0.346,Mandible length,Pheidole hyatti
Aven 1.6.jpg,4,-175.83,0.656,Head length,Pheidole hyatti
Aven 1.6.jpg,5,-176.583,0.152,Eye length,Pheidole hyatti
Aven 1.6.jpg,6,-88.315,0.077,Eye width,Pheidole hyatti
Aven 1.6.jpg,7,-87.387,0.548,Head width,Pheidole hyatti
Aven 1.6.jpg,8,-136.457,0.821,Webers,Pheidole hyatti
Aven 1.7.jpg,1,11.377,0.388,Femur,Solenopsis xyloni
Aven 1.7.jpg,2,-124.232,0.272,Scape,Solenopsis xyloni
Aven 1.7.jpg,3,-58.601,0.209,Mandible length,Solenopsis xyloni
Aven 1.7.jpg,4,-4.704,0.368,Head length,Solenopsis xyloni
Aven 1.7.jpg,5,175.601,0.061,Eye length,Solenopsis xyloni
Aven 1.7.jpg,6,84.289,0.023,Eye width,Solenopsis xyloni
Aven 1.7.jpg,7,-94.525,0.324,Head width,Solenopsis xyloni
Aven 1.7.jpg,8,-66.501,0.466,Webers,Solenopsis xyloni
Aven 1.8.jpg,1,-25.75,0.874,Femur,Solenopsis xyloni
Aven 1.8.jpg,2,-123.219,0.625,Scape,Solenopsis xyloni
Aven 1.8.jpg,3,31.715,0.484,Mandible length,Solenopsis xyloni
Aven 1.8.jpg,4,88.373,0.815,Head length,Solenopsis xyloni
Aven 1.8.jpg,5,90,0.12,Eye length,Solenopsis xyloni
Aven 1.8.jpg,6,0,0.054,Eye width,Solenopsis xyloni
Aven 1.8.jpg,7,-0.83,0.745,Head width,Solenopsis xyloni
Aven 1.8.jpg,8,-163.052,1.053,Webers,Solenopsis xyloni
