,S_ID,sample?,site,month,day,microsite,rep,method,location,quantity,order,family,subfamily,,genus,species,highest.rtu,Size (mm),sex,
1119,,,Aven,Aug ,11,open,1,PT,ET,4,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,open,1,PT,ET,2,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,Aven,Aug ,11,open,1,PT,ET,2,Acari,,,,,,,,,
,,,Aven,Aug ,11,open,1,PT,ET,3,Coleoptera,Tenebrionidae,,,,,,,,
1099,Aven-A11-S1-PT-2,,Aven,Aug ,11,shrub,1,PT,pinned,1,Hymenoptera,Pompilidae,,,Agienella,accepta,Agienella acceta,,,
,,,Aven,Aug ,11,shrub,1,PT,ET,1,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,shrub,1,PT,ET,1,Aranae,Gnaphosidae,,,immature,,,,,
,,,Aven,Aug ,11,shrub,1,PT,ET,1,Aranae,Gnaphosidae,,,immature,,,,,
,Aven-A11-S1-PT-1,Y,Aven,Aug ,11,shrub,1,PT,pinned,1,Hymenoptera,Pompilidae,,,,,,,,
,,,Aven,Aug ,11,shrub,1,PT,ET,1,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,shrub,1,PT,ET,1,Aranae,Lycosidae,,,Alopecosa,kochi,Alopecosa kochi,,,
1120,,,Aven,Aug ,11,open,2,PT,ET,6,Hymenoptera,Formicidae,,,Forelius,pruinosis,Forelius pruinosus,,,
,,,Aven,Aug ,11,open,2,PT,ET,7,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,open,2,PT,ET,1,Diptera,Phoridae,,,,,,,,
,,,Aven,Aug ,11,open,2,PT,ET,1,Scorpiones,,,,,,,,,
,,,Aven,Aug ,11,open,2,PT,ET,1,Coleoptera,Carabidae?,,,,,,,,
1108,,,Aven,Aug ,11,shrub,2,PT,ET,1,Aranae,Lycosidae,,,Alopecosa,kochi,Alopecosa kochi,,,
,,,Aven,Aug ,11,shrub,2,PT,ET,1,Aranae,Sicariidae,,,Loxosceles,deserta,Loxosceles deserta,,,
,Aven-A-S2-PT-1,,Aven,Aug ,11,shrub,2,PT,pinned 1,2,Coleoptera,Tenebrionidae,,,Triorophus,,,,,
,,,Aven,Aug ,11,shrub,2,PT,ET,1,Coleoptera,Tenebrionidae,,,,,Anepsius,,,
,,,Aven,Aug ,11,shrub,2,PT,ET,3,Hymenoptera,Formicidae,,,Solenopsis,xyloni,Solenopsis xyloni,,,
,,,Aven,Aug ,11,shrub,2,PT,ET,1,Hymenoptera,Formicidae,,,Forelius,,,,,
,,,Aven,Aug ,11,shrub,2,PT,ET,1,Aranae,Gnaphosidae,,,"small, immature",,,,,
,,,Aven,Aug ,11,shrub,2,PT,ET,1,Aranae,Gnaphosidae,,,Callilepus,,adult!!,,,
,,,Aven,Aug ,11,shrub,2,PT,ET,1,Aranae,Salticidae,,,,,,,,
