FID,ele,time,name,layer,path,month,site,Lat,Long,NDVI,SBIO1_05,SBIO1_515,SBIO2_515,SBIO2_05,SBIO7_05,SBIO7__515
12,227.924088,34:09.0,MAL,Waypoints_08-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_08-AUG-20.gpx|layername=waypoints,July,Aven,36.088,-120.19,2783,19.2999992,18.3999996,6.1999998,15.8000002,37.4000015,23.2999992
22,207.273865,56:49.0,MAL,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints,Aug,Aven,36.094,-120.197,2028,19.3999996,18.3999996,5.5999999,14.6000004,36.0999985,21.5
25,0, ,MAL, , ,Sept,Aven,0,0,2440,19.2999992,18.3999996,6.1999998,15.8000002,37.4000015,23.2999992
5,705.211121,40:58.0,MAL,Waypoints_18-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_18-SEP-20.gpx|layername=waypoints,July,CaS,35.116,-119.624,2438,16.8999996,16.6000004,4.8000002,12.5,33.7000008,21.1000004
8,701.337097,13:06.0,MAL,Waypoints_02-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_02-AUG-20.gpx|layername=waypoints,Aug,CaS,35.12,-119.628,2327,17,16.8999996,5.3000002,12.6999998,33.7000008,21
26,0, ,MAL, , ,Sept,CaS,0,0,2290,17,16.8999996,5.3000002,12.6999998,33.7000008,21
4,712.010864,38:13.0,MAL,Waypoints_18-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_18-SEP-20.gpx|layername=waypoints,July,CaSl,35.065,-119.539,2383,16.8999996,16.7999992,5,12.3999996,33.7999992,21.2999992
9,733.177673,48:37.0,MAL,Waypoints_02-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_02-AUG-20.gpx|layername=waypoints,Aug,CaSl,35.089,-119.576,2183,16.5,16.7999992,4.9000001,12.3000002,33.5,20.7999992
14,742.637695,09:22.0,MAL,Waypoints_09-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_09-JUL-20.gpx|layername=waypoints,Sept,CaSl,35.09,-119.574,2354,16.6000004,16.7000008,5.1999998,12.5,33.9000015,20.8999996
0,268.153656,12:06.0,MAL,Waypoints_06-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_06-SEP-20.gpx|layername=waypoints,July,Coal,36.213,-120.303,2444,18.7000008,17.5,5.5,14.1000004,35.9000015,21.6000004
13,266.446533,46:51.0,MAL,Waypoints_08-AUG-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_08-AUG-20.gpx|layername=waypoints,Aug,Coal,36.212,-120.304,2504,18.7000008,17.5,5.5,14.1000004,35.9000015,21.6000004
20,267.99411,08:38.0,MAL,Waypoints_16-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_16-JUL-20.gpx|layername=waypoints,Sept,Coal,36.213,-120.305,2571,18.7000008,17.5,5.5,14.1000004,35.9000015,21.6000004
6,170.72554,04:36.0,MAL,Waypoints_23-SEP-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Sept GPS Waypoints\Sept GPS Waypoints\Waypoints_23-SEP-20.gpx|layername=waypoints,July,Lok,35.355,-119.588,2258,20.7000008,20.5,5.6999998,13.5,35.9000015,22
