Slide,Species,Site,Month,ID,Rep,,
1,Solenopsis xyloni,SiCr,Aug,1,S10,,
1,Solenopsis xyloni,SiCr,Aug,2,S5,,
1,Solenopsis xyloni,SiCr,Aug,3,S7,,
1,Solenopsis xyloni,SiCr,Aug,4,O5,,
1,Solenopsis xyloni,SiCr,Aug,5,O1,,
1,Solenopsis xyloni,SiCr,Aug,6,O2,,
1,Pheidole hyatti,SiCr,Aug,7,S10,,
1,Pheidole hyatti,SiCr,Aug,8,O3,,
1,Pheidole hyatti,SiCr,Aug,9,S7,,
1,Pheidole hyatti,SiCr,Aug,10,S6,,
1,Pheidole hyatti,SiCr,Aug,11,O4,,
1,Pheidole hyatti,SiCr,Aug,12,O11,,
1,Solenopsis xyloni,Aven,Aug,1,S5,,
1,Solenopsis xyloni,Aven,Aug,2,S9,,
1,Solenopsis xyloni,Aven,Aug,3,S8,,
1,Solenopsis xyloni,Aven,Aug,4,O8,,
1,Solenopsis xyloni,Aven,Aug,5,O11,,
1,Solenopsis xyloni,Aven,Aug,6,O9,,
1,Pheidole hyatti,Aven,July,7,S2,,
1,Pheidole hyatti,Aven,July,8,O4,,
1,Pheidole hyatti,Aven,July,9,O5,,
1,Pheidole hyatti,Aven,July,10,S5,,
1,Pheidole hyatti,Aven,July,11,O6,,
1,Pheidole hyatti,Aven,July,12,S6,,
1,Solenopsis xyloni,Mov,Aug,1,S12,,
1,Solenopsis xyloni,Mov,Aug,2,S11,,
1,Solenopsis xyloni,Mov,Aug,3,O12,,
1,Solenopsis xyloni,Mov,Aug,4,S10,,
1,Solenopsis xyloni,Mov,Aug,5,O6,,
1,Solenopsis xyloni,Mov,Aug,6,O9,,
1,Pheidole hyatti,Mov,July,7,S4,,
1,Pheidole hyatti,Mov,Sept,8,S12,,
1,Pheidole hyatti,Mov,Sept,9,O8,,
1,Pheidole hyatti,Mov,Sept,10,S11,,
1,Pheidole hyatti,Mov,Sept,11,O8,,
1,Pheidole hyatti,Mov,Sept,12,O8,,
1,Solenopsis xyloni,CaSl,Aug,1,O5,,
1,Solenopsis xyloni,CaSl,Aug,2,O7,,
1,Solenopsis xyloni,CaSl,Aug,3,O4,,
1,Solenopsis xyloni,CaSl,Aug,4,S11,,
1,Solenopsis xyloni,CaSl,Aug,5,S3,missing antenna,
1,Solenopsis xyloni,CaSl,Aug,6,S6,,
1,Messor andrei,CaSl,Aug,7,S3,,
1,Messor andrei,CaSl,Aug,8,S12,,
1,Messor andrei,CaSl,Aug,9,S7,,
1,Messor andrei,CaSl,Aug,10,O12,,
1,Messor andrei,CaSl,Aug,11,O8,,
1,Messor andrei,CaSl,Aug,12,O11,,
1,Solenopsis xyloni,SemiT,Aug,1,O1,,
1,Solenopsis xyloni,SemiT,Aug,2,S2,,
1,Solenopsis xyloni,SemiT,Aug,3,O2,,
1,Solenopsis xyloni,SemiT,Aug,4,S1,,
1,Solenopsis xyloni,SemiT,Aug,5,S6,,
1,Solenopsis xyloni,SemiT,Aug,6,S12,,
1,Pheidole hyatti,SemiT,Aug,7,S9,,
1,Pheidole hyatti,SemiT,July,8,S12,,
1,Pheidole hyatti,SemiT,July,9,S12,,
1,Pheidole hyatti,SemiT,July,10,S12,,
1,Pheidole hyatti,SemiT,July,11,S12,,
1,Pheidole hyatti,SemiT,July,12,S12,,
1,Solenopsis xyloni,CaS,Aug,1,O9,,
1,Solenopsis xyloni,CaS,Aug,2,S3,,
1,Solenopsis xyloni,CaS,Aug,3,S9,,
1,Solenopsis xyloni,CaS,Aug,4,S8,,
1,Solenopsis xyloni,CaS,Aug,5,O1,,
1,Solenopsis xyloni,CaS,Aug,6,O5,,
1,Pheidole hyatti,CaS,Aug,7,S3,,
1,Pheidole hyatti,CaS,Aug,8,S9,,
1,Pheidole hyatti,CaS,Aug,9,S8,,
1,Pheidole hyatti,CaS,Aug,10,O1,,
1,Pheidole hyatti,CaS,Aug,11,O5,,
1,Pheidole hyatti,CaS,Aug,12,O8,,
1,Solenopsis xyloni,PaPl,Aug,1,O9,,
1,Solenopsis xyloni,PaPl,Aug,2,O10,,
1,Solenopsis xyloni,PaPl,Aug,3,S12,,
1,Solenopsis xyloni,PaPl,Aug,4,O3,,
1,Solenopsis xyloni,PaPl,Aug,5,S9,,
1,Solenopsis xyloni,PaPl,Aug,6,S10,,
1,Pheidole hyatti,PaPl,Aug,7,O10,,
1,Pheidole hyatti,PaPl,Aug,8,S5,,
1,Pheidole hyatti,PaPl,Aug,9,O7,,
1,Pheidole hyatti,PaPl,Aug,10,S9,,
1,Pheidole hyatti,PaPl,Aug,11,O6,,
1,Pheidole hyatti,PaPl,Aug,12,S11,,
1,Solenopsis xyloni,Coal,Aug,1,O10,,
1,Solenopsis xyloni,Coal,Aug,2,O4,,
1,Solenopsis xyloni,Coal,Aug,3,O12,,
1,Solenopsis xyloni,Coal,Aug,4,O9,,
1,Solenopsis xyloni,Coal,Aug,5,S4,,
1,Solenopsis xyloni,Coal,Aug,6,O11,,
1,Pheidole hyatti,Coal,Aug,7,S11,,
1,Pheidole hyatti,Coal,Aug,8,O10,,
1,Pheidole hyatti,Coal,Aug,9,O1,,
1,Pheidole hyatti,Coal,Aug,10,S3,,
1,Pheidole hyatti,Coal,Aug,11,S1,,
1,Pheidole hyatti,Coal,Aug,12,O5,,
1,Solenopsis xyloni,LoK,Aug,1,broken,broken,
1,Solenopsis xyloni,LoK,Aug,2,S8,,
1,Solenopsis xyloni,LoK,Aug,3,S5,,
1,Solenopsis xyloni,LoK,Aug,4,broken,broken,can use old ones they were O5
1,Solenopsis xyloni,LoK,Aug,5,O6,,
1,Solenopsis xyloni,LoK,Aug,6,O,,
1,Dorymyrmex bicolor,LoK,Aug,7,S1,,
1,Dorymyrmex bicolor,LoK,Aug,8,S11,,
1,Dorymyrmex bicolor,LoK,Aug,9,S7,,
1,Dorymyrmex bicolor,LoK,Aug,10,O5,,
1,Dorymyrmex bicolor,LoK,Aug,11,S12,,
1,Dorymyrmex bicolor,LoK,Aug,12,S1,,
2,Dorymyrmex insanus,CaS,Aug,1,O6,Cas2,
2,Dorymyrmex insanus,CaS,Aug,2,O8,,
2,Dorymyrmex insanus,CaS,Aug,3,O9,,
2,Dorymyrmex insanus,CaS,July,4,S9,,
2,Dorymyrmex insanus,CaS,July,5,S8,,
2,Dorymyrmex insanus,CaS,July,6,S6,,
2,Messor pergandei,CaS,July,7,S7,,
2,Dorymyrmex bicolor,Aven,July,1,S2,,
2,Dorymyrmex bicolor,Aven,July,2,S2,,
2,Dorymyrmex bicolor,Aven,July,3,S3,,
2,Dorymyrmex bicolor,Aven,July,4,S3,,
2,Dorymyrmex bicolor,Aven,Aug,5,can't find vial,,
2,Dorymyrmex bicolor,Aven,Aug,6,can't find vial,,
2,Messor pergandei,Aven,July,7,O11,,
2,Messor pergandei,Aven,July,8,O11,,
2,Messor pergandei,Aven,July,9,O11,,
3,Forelius pruinosis,Aven,Aug,1,S8,,
3,Forelius pruinosis,Aven,Aug,2,S7,,
3,Forelius pruinosis,Aven,Aug,3,S2,,
3,Forelius pruinosis,Aven,Aug,4,O9,,
3,Forelius pruinosis,Aven,Aug,5,O1,,
3,Forelius pruinosis,Aven,Aug,6,O2,,
3,Cyphomyrmex wheeleri,Aven,July,7,S12,,
