Site,month,Method,Microsite,Rep,field micro,shrub.x,shrub.y,shrub.z,dry.veg.percent,green.veg.percent,woody.debris.percent,rocks.percent,bare.ground.percent,sum_percent,veg. height,dominant type,dried?,notes
CaS,July,pitfall,shrub,1,,350,325,126,91,0,3,1,5,100,26,Grass,TRUE,3 or 4 stems for one big bush
CaS,July,pitfall,shrub,2,,610,500,160,96,0,3,1,0,100,24,Grass,TRUE,
CaS,July,pitfall,shrub,3,,325,255,155,99,0,0,1,0,100,33,Grass,TRUE,
CaS,July,pitfall,shrub,4,,285,250,120,83,0,6,1,10,100,31,Grass,TRUE,
CaS,July,pitfall,shrub,5,,290,230,170,96,0,1,1,2,100,29,Grass,TRUE,
CaS,July,pitfall,shrub,6,,295,275,150,91,0,0,1,8,100,33,Grass,TRUE,
CaS,July,pitfall,shrub,7,,365,360,170,74,0,10,1,15,100,25,Grass,TRUE,
CaS,July,pitfall,shrub,8,,390,365,185,90,0,1,1,8,100,28,Grass,TRUE,
CaS,July,pitfall,shrub,9,,320,315,160,94,0,0,1,5,100,29,Grass,TRUE,
CaS,July,pitfall,shrub,10,,470,430,165,88,0,10,1,1,100,8,Grass,TRUE,Grasshoppers mating (?) in bush
CaS,July,pitfall,shrub,11,,250,210,100,60,2,3,2,33,100,22,Grass,TRUE,
CaS,July,pitfall,shrub,12,,315,315,140,90,1,0,2,7,100,37,Grass,TRUE,
CaS,July,pitfall,open,1,,,,,77,0,0,3,20,100,12,grass,TRUE,
CaS,July,pitfall,open,2,,,,,2,7,1,4,86,100,35,herb,TRUE,
CaS,July,pitfall,open,3,,,,,1,2,0,4,93,100,2,herb,TRUE,
CaS,July,pitfall,open,4,,,,,2,2,1,1,94,100,7,herb,TRUE,
CaS,July,pitfall,open,5,,,,,1,2,0,2,95,100,13,grass,TRUE,
CaS,July,pitfall,open,6,,,,,50,0,0,1,49,100,19,grass,TRUE,
CaS,July,pitfall,open,7,,,,,70,0,0,0,30,100,8,grass,TRUE,
CaS,July,pitfall,open,8,,,,,10,0,1,5,84,100,14,grass,TRUE,
CaS,July,pitfall,open,9,,,,,3,0,0,2,95,100,1,grass,TRUE,
